202	Pass	6	66	3	12:00:13 AM
203	Spike	2	65	3	12:00:14 AM
204	Spiked	2	35	3	12:00:15 AM
205	Defense	4	61	3	12:00:18 AM
206	Pass	6	29	3	12:00:20 AM
207	Spike	4	54	3	12:00:22 AM
208	Spiked	4	50	3	12:00:23 AM
209	Defense	13	41	3	12:00:27 AM
210	Pass		Side Out 2	3	12:00:28 AM
211	Defense	13	43	3	12:00:46 AM
212	Pass	6	65	3	12:00:47 AM
213	Spike	9	31	3	12:00:48 AM
214	Spiked	9	Side Out 3	3	12:00:50 AM
215	Defense	9	30	3	12:01:04 AM
216	Pass	6	74	3	12:01:06 AM
217	Ground		79	3	12:01:08 AM
218	Defense	9	39	3	12:01:24 AM
219	Pass	6	68	3	12:01:25 AM
220	Spike	4	81	3	12:01:27 AM
221	Served	2	24	3	12:01:43 AM
222	Defense	9	50	3	12:01:48 AM
223	Pass	6	65	3	12:01:49 AM
224	Spike	18	64	3	12:01:50 AM
225	Defense	2	81	3	12:01:52 AM
226	Pass	6	50	3	12:01:53 AM
227	Spike	4	53	3	12:01:55 AM
228	Spiked	4	23	3	12:01:56 AM
229	Defense	9	34	3	12:02:16 AM
230	Pass	6	74	3	12:02:18 AM
231	Spike	18	80	3	12:02:19 AM
232	Spiked	18	48	3	12:20:20 AM
233	Served	4	21	3	12:20:38 AM
234	Defense	13	42	3	12:02:41 AM
235	Ground		36	3	12:02:42 AM
236	Defense	4	39	3	12:03:01 AM
237	Pass	5	76	3	12:03:03 AM
238	Spiked	5	66	3	12:03:03 AM
239	Served	5	23	3	12:03:20 AM
240	Ground		70	3	12:03:23 AM
241	Defense	9	44	3	12:03:40 AM
242	Pass	6	79	3	12:03:42 AM
243	Served	18	Over/In Net	3	12:04:12 AM
244	Defense	4	35	3	12:04:26 AM
245	Pass	6	77	3	12:04:28 AM
246	Spike	9	74	3	12:04:29 AM
247	Served	9	25	3	12:04:53 AM
248	Defense	5	30	3	12:04:57 AM
249	Pass	6	78	3	12:04:58 AM
250	Spike	2	75	3	12:05:00 AM
251	Spiked	2	32	3	12:05:01 AM
252	Defense	5	38	3	12:05:04 AM
253	Pass	2	73	3	12:05:06 AM
254	Spike	4	61	3	12:05:08 AM
255	Spiked	4	35	3	12:05:09 AM
256	Ground		18	3	12:05:13 AM
257	Defense	9	38	3	12:05:35 AM
258	Pass	6	59	3	12:05:37 AM
259	Spike	2	Side Out 3	3	12:05:39 AM
260	Spiked	2	77	3	12:05:40 AM
261	Defense	9	41	3	12:05:42 AM
262	Pass	6	77	3	12:05:43 AM
263	Spike	4	81	3	12:05:45 AM
264	Served	6	34	3	12:06:12 AM
265	Defense	6	19	3	12:06:17 AM
266	Pass	2	55	3	12:06:18 AM
267	Spike	4	72	3	12:06:20 AM
268	Spiked	4	23	3	12:06:21 AM
269	Served	6	Side Out 3	3	12:06:48 AM
270	Defense	9	38	3	12:07:03 AM
271	Pass	6	58	3	12:07:05 AM
272	Spike	4	81	3	12:07:07 AM
273	Spiked	4	74	3	12:07:08 AM
274	Defense	6	56	3	12:07:12 AM
275	Pass	5	76	3	12:07:13 AM
276	Spike	2	74	3	12:07:15 AM
277	Spiked	2	45	3	12:07:16 AM
278	Defense	6	40	3	12:07:19 AM
279	Pass	5	58	3	12:07:21 AM
280	Spike	2	74	3	12:07:23 AM
281	Spiked	2	48	3	12:07:24 AM
282	Defense	6	57	3	12:07:28 AM
283	Pass	5	57	3	12:07:30 AM
284	Served	2	33	3	12:08:01 AM
285	Served	2	34	3	12:08:22 AM
286	Served	2	23	3	12:08:41 AM
287	Defense	18	44	3	12:08:59 AM
288	Pass	5	42	3	12:09:01 AM
289	Spike	18	72	3	12:09:02 AM
290	Spiked	18	21	3	12:09:04 AM
291	Defense	4	56	3	12:09:08 AM
292	Pass	9	30	3	12:09:08 AM
293	Spike	4	47	3	12:09:09 AM
294	Defense	9	42	3	12:10:25 AM
295	Pass	6	79	3	12:10:26 AM
296	Spike	18	81	3	12:10:28 AM
297	Served	4	77	3	12:10:48 AM
298	Defense	4	10	3	12:10:53 AM
299	Pass	6	Side Out 1	3	12:10:55 AM
300	Spike	13	39	3	12:10:57 AM
301	Spiked	13	20	3	12:10:58 AM
302	Defense	4	31	3	12:11:01 AM
303	Pass	6	76	3	12:11:03 AM
304	Spike	13	44	3	12:11:04 AM
305	Spiked	13	35	3	12:11:06 AM
306	Ground		Side Out 1	3	12:11:11 AM
307	Defense	9	53	3	12:11:35 AM
308	Pass	13	43	3	12:11:37 AM
309	Spike	9	63	3	12:11:38 AM
310	Spiked	9	20	3	12:11:39 AM
311	Defense	4	22	3	12:11:44 AM
312	Pass	6	76	3	12:11:46 AM
313	Spike	18	74	3	12:11:47 AM
314	Spiked	18	40	3	12:11:48 AM
315	Defense	9	42	3	12:12:16 AM
316	Pass	5	66	3	12:12:17 AM
317	Spike	18	73	3	12:12:19 AM
318	Spiked	18	80	3	12:12:20 AM
319	Served	5	22	3	12:12:42 AM
320	Served	5	24	3	12:12:58 AM
321	Defense	9	60	3	12:13:02 AM
322	Pass	6	67	3	12:13:03 AM
323	Spike	18	73	3	12:13:04 AM
324	Defense	9	79	3	12:13:06 AM
325	Pass	6	78	3	12:13:07 AM
326	Spike	13	71	3	12:13:07 AM
327	Spiked	13	41	3	12:13:09 AM
328	Ground		76	3	12:13:14 AM
329	Served	18	50	3	12:13:43 AM
330	Served	18	40	3	12:14:05 AM
331	Served	18	31	3	12:14:23 AM
332	Served	18	22	3	12:15:26 AM
333	Served	18	17	3	12:16:24 AM
334	Served	18	30	3	12:16:41 AM
